year,patent_id,wipo,query_type,query_text,attempt_used,query_word_count,leak_overlap_count,leak_overlap_ratio,leak_query_ngram_count,status
2025,12370583,23,summary,"Portable duct‑cleaning apparatus couples a coiled suction conduit, a driven rotatable shaft with cleaning head, and a power‑line camera; each non‑coaxial element slides through a slidable collar, coils on separate spools, and runs independently inside ducts.",3,39,0,0.0,29,ok
2025,12370583,23,keyword,"flexible non‑coaxial vacuum hose, rotatable motor‑driven shaft, and camera cable, all coilable and slip‑collar coupled, fed independently through duct, housed on parallel spools inside backpack‑mounted case, enabling suction, agitation, and visual inspection.",1,36,0,0.0,30,ok
2025,12370583,23,function,"Search for flexible, non‑coaxial vacuum hose combined with a rotatable drive shaft and a separate powered camera line that can be co‑slidably coupled in a portable backpack to simultaneously suction, agitate, and visually inspect sealed conduits.",2,38,0,0.0,25,ok
2025,12258179,25,summary,"Search for polyethylene‑based adhesive tape featuring a cross‑section with two thicker shells flanking a higher‑density, rib‑reinforced thin core that tears cleanly along the tape’s length and its application for fastening opposing faces of a container.",1,40,0,0.0,26,ok
2025,12258179,25,keyword,"polyethylene tape cross‑section with a thin high‑density core between thicker layers, longitudinal ribs for rupture, dual‑portion self‑engaging profile bonded to opposing container faces for sealing and release.",1,31,0,0.0,23,ok
2025,12258179,25,function,"Search for polyethylene‐coated tapes containing a low‑thickness high‑density rupture zone with ribbed edges, engineered to break cleanly along the tape’s axis, and used as a bonded closure for dual‑faced containers, enabling easy separation and secure sealing.",1,41,0,0.0,28,ok
2025,12261761,4,summary,"satellite‑based communications system employing dedicated monitors that send reverse‑link packets identifying themselves, receive forward packets from the same spot beam, compare forward and reverse link data against predicted values, and forward discrepancies exceeding a threshold to gateways for error diagnosis.",3,42,2,0.0625,32,failed_constraints
2025,12261761,4,keyword,"Search for prior art involving satellite‑based communication systems with user equipment, satellites, gateway nodes, and performance monitoring devices that transmit reverse‑link packets and forward‑link signal data, compare received versus predicted metrics, and generate diagnostics when thresholds are exceeded.",3,41,3,0.0967741935483871,31,failed_constraints
2025,12261761,4,function,"How can a monitoring device that exchanges uplink diagnostic packets with satellite gateways, receives downlink data from satellites, and relays comparative signal metrics over a terrestrial network pinpoint network anomalies when signal deviation thresholds are breached?",2,36,0,0.0,26,ok
2025,12217515,6,summary,"Search for methods that create a token‑based codebook mapping prior object states, vehicle attributes, and environmental factors, used by a neural network to forecast vehicle‑object interactions for autonomous planning.",2,31,0,0.0,21,ok
2025,12217515,6,keyword,"Machine‑learning codebook training for autonomous vehicle trajectory prediction using tokenized state, vehicle characteristics, and environmental features in a sequence model for path planning, including position, velocity and acceleration outputs for simulation.",2,32,0,0.0,23,ok
2025,12217515,6,function,"Search for methods that train tokenized codebooks mapping prior object states, vehicle attributes, and environmental features to predict vehicle–object interaction trajectories used in vehicle planning and simulation for autonomous driving.",2,31,0,0.0,22,ok
2025,12396825,13,summary,"Dental implant fixture with built‑in abutment rotational lock that shape‑fits and a detachable tool coupling above the lock for precision rotation, combining screw‑threaded body, recessed insertion groove, and symmetrical protrusions and grooves for tool engagement.",1,38,0,0.0,26,ok
2025,12396825,13,keyword,"Search for dental implant fixture featuring a spiral screw shank, an upper recessed abutment seat, an octagonal shape‑fitted rotation‑locking collar, and a detachable rotary‑tool interface above the collar with angled protrusions and offset grooves for torque coupling.",2,40,0,0.0,28,ok
2025,12396825,13,function,"Search for dental implant fixtures providing a spiral screw thread, an abutment groove with built‑in shape‑fit locking that stops abutment rotation, and a detachable tool coupling featuring protruding and grooved sections for secure rotary tool attachment and controlled implant placement.",1,42,0,0.0,29,ok
2025,12203696,34,summary,"A metallic housing featuring adjacent panels, where a single-piece, cut‑and‑bent top‑wall bracket on one panel fits into a deepened recess on the adjacent panel to secure the connection.",2,32,0,0.0,19,ok
2025,12203696,34,keyword,"Search for metal home appliance housings with adjacent side panels, where one panel features a cut‑out and is joined by a unitary metal bracket that is bent and cut from the top wall, and the other panel has a deepened mating recess to accept the bracket.",2,47,0,0.0,26,ok
2025,12203696,34,function,"Search: metal appliance enclosure with complementary side panels joined by an interlocking recess and a precisely machined metal flange cast from a cut‑out in the opposite panel’s top face, enabling strong, unitary structural integrity.",2,36,0,0.0,24,ok
2025,12263501,21,summary,"Rotary‑actuated compound applicator that uses a cam‑guided pull rod to translate handle rotation into plug displacement, allowing controlled opening, spring bias and adjustable handle‑position for consistent dosage delivery from a stored compound cylinder.",1,36,0,0.0,26,ok
