year,patent_id,wipo,query_type,query_text,attempt_used,query_word_count,leak_overlap_count,leak_overlap_ratio,leak_query_ngram_count,status
2015,9150849,15,summary,"Developing a balanced expression platform to evaluate protein variants incorporating non‑canonical residues, combined with tailored vector packaging components that preserve plasmid integrity and maintain relative representation, enabling efficient selection of engineered binders.",2,33,0,0.0,25,ok
2015,9150849,15,keyword,"Recombinant polypeptide libraries containing variants with noncanonical amino acids, expressed from engineered plasmid-based host, normalized expression ratios, incorporation of packaging or specificity peptides featuring identical noncanonical residues essential for vector viability, methods for nucleic acid encapsulation and selection.",2,39,0,0.0,30,ok
2015,9150849,15,function,"methods for generating and screening recombinant peptide libraries that contain non-standard amino acids, including normalized expression systems and essential packaging polypeptides, plus vector packaging techniques for nucleic acids to enable high‑throughput functional protein discovery.",1,36,0,0.0,28,ok
2015,9033946,13,summary,"Search for a diaper garment featuring a front panel opening covered by a foldable flap, enabling quick insertion of a biodegradable absorbent pad, with dual panels, side elastic, and exposed fastening buttons for easy adjustment and containment.",1,37,0,0.0,24,ok
2015,9033946,13,keyword,"search for diaper sheath designs featuring inner and outer panels with front/back sections, front flap covering an opening, elastic side strips, button anchors, front and back fasteners, and biodegradable pad insertion options.",3,33,1,0.04,25,failed_constraints
2015,9033946,13,function,"Search for diaper sheath designs featuring a front flap covering an opening for easy insertion of biodegradable pads, with front/back fasteners, elastic side strips, and exposed buttons for adjustable fit and secure attachment, allowing rapid, user-friendly diaper insertion and adjustment.",1,42,0,0.0,30,ok
2015,9048056,20,summary,"Search for non‑alkali metal glass compositions containing transition metals such as vanadium with tungsten or iron, phosphorus, barium and zinc oxides, achieving 430‑530 °C softening point and 6‑9 ppm/°C expansion for electronic sealing or bonding.",3,39,3,0.12,25,failed_constraints
2015,9048056,20,keyword,"Search for glass sealant or adhesive compositions containing V₂O₅, WO₃ or Fe₂O₃, P₂O₅, BaO and ZnO, with softening point 430‑530 °C, linear expansion 6‑9 ppm/°C, excluding alkali metals and JIG level A/B substances for electronic devices.",1,40,0,0.0,23,ok
2015,9048056,20,function,"Search for glass compositions that, with transition metal oxides, phosphates, barium, and zinc, provide 430–530 °C softening and 6–9 ppm/°C expansion, suitable for electronic device sealants, adhesives, or coatings, without hazardous A/B level or alkali constituents.",2,40,0,0.0,24,ok
2015,9217711,10,summary,"Method dissolving Be compounds at mild acidic temperatures, then mixing with a high‑pH fluorescent indicator containing a hydroxyl‑quinoline sulfonate dye for quantitative beryllium detection.",1,26,0,0.0,18,ok
2015,9217711,10,keyword,"Search for acid‑based beryllium dissolution protocols at temperatures below 100 °C combined with high‑pH fluorescent chemosensing, noting buffered mixtures, stoichiometric ratios, and selective Be²⁺ binding indicators for quantitative fluorescence detection.",2,32,0,0.0,23,ok
2015,9217711,10,function,"Determine presence and quantity of beryllium in a material by mild acid dissolution at ≤100 °C, mixing the digest with a basic solution >pH10 (volume ratio >1:19) containing a selective fluorescent dye, and measuring fluorescence to quantify beryllium.",1,39,0,0.0,23,ok
